time,open,high,low,close,Candle high,Candle low,TBbox,BBbox,test BaseLine,test BaseLine,test_ema,volume,Volume MA
2023-01-31T01:16:00-07:00,11957.75,11964.5,11957.75,11964.5,11964.5,11957.75,NaN,NaN,NaN,NaN,NaN,87,NaN
2023-01-31T01:16:30-07:00,11964.75,11970.5,11964.75,11969,11964.5,11957.75,NaN,NaN,NaN,NaN,NaN,228,NaN
2023-01-31T01:17:00-07:00,11968.75,11972.75,11968.5,11971.5,11964.5,11957.75,NaN,NaN,NaN,NaN,NaN,104,NaN
2023-01-31T01:17:30-07:00,11972,11974.25,11970.5,11973.25,11964.5,11957.75,NaN,NaN,NaN,NaN,NaN,111,NaN
2023-01-31T01:18:00-07:00,11973.5,11975.25,11970,11970,11970.5,11964.75,NaN,NaN,NaN,NaN,NaN,109,NaN
2023-01-31T01:18:30-07:00,11970,11972,11965.5,11967,11970.5,11964.75,NaN,NaN,NaN,NaN,NaN,107,NaN
2023-01-31T01:19:00-07:00,11968,11968.25,11965,11967,11974.25,11970.5,NaN,NaN,NaN,NaN,NaN,95,NaN
2023-01-31T01:19:30-07:00,11966.5,11969.75,11965.25,11969.75,11974.25,11970.5,NaN,NaN,NaN,NaN,NaN,40,NaN
2023-01-31T01:20:00-07:00,11969.5,11973,11969.25,11972,11974.25,11970.5,NaN,NaN,NaN,NaN,11969.33333,113,NaN
2023-01-31T01:20:30-07:00,11972.25,11972.75,11969.5,11969.5,11973,11969.25,NaN,NaN,11969.525,11967.2,11969.36667,55,NaN
2023-01-31T01:21:00-07:00,11970,11970,11967.75,11969,11973,11969.25,NaN,NaN,11969.49167,11967.375,11969.29333,49,NaN
2023-01-31T01:21:30-07:00,11968.25,11969,11964.25,11965.25,11973,11969.25,NaN,NaN,11969.31667,11971.475,11968.48467,76,NaN
2023-01-31T01:22:00-07:00,11965,11965.25,11960.25,11962.5,11973,11969.25,NaN,NaN,11968.96667,11971.05833,11967.28773,72,NaN
2023-01-31T01:22:30-07:00,11962.5,11963.25,11956.75,11957.75,11973,11969.25,NaN,NaN,11968.2,11970.41667,11965.38019,167,NaN
2023-01-31T01:23:00-07:00,11957.25,11958,11951.75,11952,11973,11969.25,NaN,NaN,11966.89167,11969.325,11962.70415,186,NaN
2023-01-31T01:23:30-07:00,11952.25,11954.75,11950.5,11951.5,11958,11951.75,NaN,NaN,11965.01667,11967.80833,11960.46332,111,NaN
2023-01-31T01:24:00-07:00,11951.5,11953.25,11949.75,11953.25,11958,11951.75,NaN,NaN,11962.675,11965.83333,11959.02066,78,NaN
2023-01-31T01:24:30-07:00,11952.5,11953.75,11951.25,11953,11958,11951.75,NaN,NaN,11960.075,11963.45,11957.81652,59,NaN
2023-01-31T01:25:00-07:00,11953,11954,11949.5,11951.5,11958,11951.75,NaN,NaN,11957.50833,11960.90833,11956.55322,87,NaN
2023-01-31T01:25:30-07:00,11951.75,11952.75,11947.25,11947.5,11958,11951.75,NaN,NaN,11955.26667,11958.51667,11954.74258,136,103.5
2023-01-31T01:26:00-07:00,11947.5,11948.75,11945,11947.25,11958,11951.75,NaN,NaN,11953.46667,11956.41667,11953.24406,169,107.6
2023-01-31T01:26:30-07:00,11947.25,11952,11946.25,11949.25,11948.75,11945,NaN,NaN,11952.11667,11954.78333,11952.44525,148,103.6
2023-01-31T01:27:00-07:00,11948.75,11949.5,11946.25,11947.25,11948.75,11945,NaN,NaN,11950.975,11953.53333,11951.4062,116,104.2
2023-01-31T01:27:30-07:00,11947,11949.25,11945.75,11949.25,11948.75,11945,NaN,NaN,11950.075,11952.50833,11950.97496,57,101.5
2023-01-31T01:28:00-07:00,11949,11949,11942.75,11943.25,11948.75,11945,NaN,NaN,11949.24167,11951.66667,11949.42997,130,102.55
2023-01-31T01:28:30-07:00,11944,11948.5,11944,11948.5,11952,11946.25,NaN,NaN,11948.6,11950.99167,11949.24397,88,101.6
2023-01-31T01:29:00-07:00,11948.5,11949.25,11946.75,11947.25,11949,11942.75,NaN,NaN,11948.03333,11950.425,11948.84518,128,103.25
2023-01-31T01:29:30-07:00,11947,11948,11946.25,11948,11949,11942.75,NaN,NaN,11947.625,11949.85,11948.67614,75,105
2023-01-31T01:30:00-07:00,11948.5,11948.5,11942.25,11945,11949,11942.75,NaN,NaN,11947.26667,11949.39167,11947.94091,186,108.65
2023-01-31T01:30:30-07:00,11945.25,11946,11943.75,11944.75,11948.5,11942.25,NaN,NaN,11947.03333,11948.99167,11947.30273,63,109.05
2023-01-31T01:31:00-07:00,11944,11945.75,11941.5,11943.25,11948.5,11942.25,NaN,NaN,11946.76667,11948.625,11946.49219,91,111.15
2023-01-31T01:31:30-07:00,11942.75,11943,11938,11938.25,11948.5,11942.25,NaN,NaN,11946.15833,11948.05833,11944.84375,175,116.1
2023-01-31T01:32:00-07:00,11938.25,11941.5,11937,11938.75,11948.5,11942.25,NaN,NaN,11945.30833,11947.36667,11943.625,117,118.35
2023-01-31T01:32:30-07:00,11938,11938.75,11933.75,11935.25,11943,11938,NaN,NaN,11944.10833,11946.4,11941.95,129,116.45
2023-01-31T01:33:00-07:00,11935.75,11941,11935.25,11939.5,11943,11938,NaN,NaN,11942.875,11945.29167,11941.46,92,111.75
